course_ID,course_name,isMandatory
1,Advanced Operating Systems,0
2,Computer Networks,1
3,Software Development Process,1
4,Machine Learning,1
5,High Performance Computer Architecture,0
6,Software Architecture and Design,1
7,Intro to Health Informatics,0
8,Computability-Complexity and Algorithms,1
9,Knowledge-Based Artificial Intelligence- Cognitive Systems,1
10,Computer Vision,0
11,Computational Photography,0
12,Introduction to Operating Systems,1
13,Artificial Intelligence for Robotics,1
14,Introduction to Information Security,0
15,High-Performance Computing,0
16,Machine Learning for Trading,0
17,Special Topics: Reinforcement Learning,0
18,Special Topics: Big Data,0
