faculty_ID,availableNextSemester,assignedCourse,course_ID,course_ID,course_ID,course_ID,course_ID,course_ID
201,0,0,4,15,,,,
202,1,0,6,14,17,,,
203,0,0,14,17,18,,,
204,1,0,7,13,15,16,,
205,1,0,6,8,,,,
206,1,0,13,15,16,17,18,
207,1,0,2,15,17,18,,
208,1,0,4,11,12,16,17,
209,1,0,6,14,16,17,18,
210,0,0,14,15,,,,
211,1,0,4,13,16,18,,
212,0,0,14,15,16,17,18,
213,1,0,4,13,,,,
214,1,0,8,12,14,17,18,
217,1,0,8,11,15,16,17,18
218,0,0,1,11,,,,
219,1,0,2,8,12,13,17,
220,1,0,3,12,17,18,,
221,1,0,3,8,9,10,,
223,0,0,4,8,,,,
225,1,0,1,7,15,16,17,18
226,0,0,6,9,13,14,18,
227,0,0,3,4,11,12,17,18
228,0,0,9,10,17,,,
229,1,0,13,14,15,16,17,18
230,0,0,8,11,12,13,,
234,1,0,11,13,14,15,16,17
235,1,0,13,17,18,,,
236,1,0,4,12,15,16,17,18
237,1,0,5,10,15,16,17,18
238,1,0,12,16,18,,,
239,0,0,7,10,12,,,
240,1,0,4,14,15,16,17,
