faculty_ID,course_ID,role_ID,semester_ID
201,4,1,10
201,15,1,11
202,6,1,2
202,14,1,6
202,17,1,7
203,14,1,2
203,17,1,10
203,18,1,11
204,7,1,1
204,13,1,10
204,15,1,11
204,16,1,12
205,6,1,10
205,8,1,12
206,13,1,1
206,15,1,5
206,16,1,6
206,17,1,8
206,18,1,12
207,2,1,4
207,15,1,8
207,17,1,9
207,18,1,11
208,4,1,6
208,11,1,7
208,12,1,9
208,16,1,11
208,17,1,12
209,6,1,8
209,14,1,9
209,16,1,10
209,17,1,11
209,18,1,12
210,14,1,3
210,15,1,10
211,4,1,8
211,13,1,10
211,16,1,11
211,18,1,12
212,14,1,5
212,15,1,8
212,16,1,10
212,17,1,11
212,18,1,12
213,4,1,3
213,13,1,8
214,8,1,1
214,12,1,2
214,14,1,8
214,17,1,10
214,18,1,12
215,12,3,6
215,13,3,8
215,14,3,9
215,16,3,10
215,17,3,11
215,18,3,12
216,16,3,5
216,17,3,6
217,8,1,4
217,11,1,8
217,15,1,9
217,16,1,10
217,17,1,11
217,18,1,12
218,1,1,6
218,11,1,8
219,2,1,7
219,8,1,8
219,12,1,10
219,13,1,11
219,17,1,12
220,3,1,7
220,12,1,10
220,17,1,11
220,18,1,12
221,3,1,6
221,8,1,8
221,9,1,11
221,10,1,12
222,8,3,9
222,11,3,10
222,16,3,11
222,18,3,12
223,4,1,8
223,8,1,12
224,5,3,4
224,9,3,9
224,13,3,10
224,14,3,11
224,16,3,12
225,1,1,5
225,7,1,8
225,15,1,9
225,16,1,10
225,17,1,11
225,18,1,12
226,6,1,7
226,9,1,8
226,13,1,10
226,14,1,11
226,18,1,12
227,3,1,7
227,4,1,8
227,11,1,9
227,12,1,10
227,17,1,11
227,18,1,12
228,9,1,5
228,10,1,10
228,17,1,12
229,13,1,3
229,14,1,4
229,15,1,7
229,16,1,10
229,17,1,11
229,18,1,12
230,8,1,2
230,11,1,3
230,12,1,8
230,13,1,11
231,11,3,1
231,15,3,2
232,12,3,4
232,14,3,6
232,15,3,7
232,16,3,8
232,17,3,11
232,18,3,12
233,4,3,11
233,13,3,12
234,11,1,1
234,13,1,2
234,14,1,5
234,15,1,8
234,16,1,10
234,17,1,11
235,13,1,7
235,17,1,9
235,18,1,10
236,4,1,1
236,12,1,4
236,15,1,9
236,16,1,10
236,17,1,11
236,18,1,12
237,5,1,1
237,10,1,3
237,15,1,7
237,16,1,8
237,17,1,9
237,18,1,11
238,12,1,2
238,16,1,10
238,18,1,11
239,7,1,7
239,10,1,8
239,12,1,11
240,4,1,8
240,14,1,9
240,15,1,10
240,16,1,11
240,17,1,12
