student_ID,course_ID,semester_ID
1,13,3
1,17,7
1,18,9
2,12,6
2,13,7
2,16,8
2,17,10
3,5,2
3,13,6
3,14,8
3,16,9
3,17,10
3,18,12
4,4,1
4,7,4
4,8,7
4,12,8
4,15,9
4,16,10
4,17,11
4,18,12
5,13,1
5,14,5
5,15,10
5,17,11
5,18,12
6,13,7
6,14,8
6,16,10
6,18,11
7,6,4
7,12,8
7,15,9
7,16,10
7,17,11
7,18,12
8,1,1
8,11,6
8,12,7
8,13,8
8,15,9
8,16,10
8,17,11
8,18,12
9,11,4
9,14,5
9,15,6
9,16,10
9,17,11
10,8,1
10,14,3
10,15,6
10,16,7
11,12,1
11,13,5
11,14,8
11,15,9
11,16,10
11,17,11
11,18,12
12,13,4
12,16,6
12,17,11
12,18,12
13,11,2
13,17,3
13,18,5
14,6,3
14,8,5
14,14,8
14,15,9
14,16,10
14,17,11
14,18,12
15,1,6
15,11,7
15,14,8
15,15,9
15,16,10
15,17,11
15,18,12
16,9,2
16,11,7
16,14,9
16,16,10
16,17,11
16,18,12
17,2,3
17,5,4
17,11,7
17,13,8
17,14,10
17,16,11
18,4,5
18,10,7
18,13,8
18,14,9
18,16,10
18,17,11
18,18,12
19,7,3
19,9,6
19,11,7
19,13,8
19,15,9
19,16,10
19,17,11
19,18,12
20,6,5
20,10,6
20,13,7
20,14,8
20,15,9
20,16,10
20,17,11
20,18,12
21,12,2
21,13,7
21,15,9
21,16,10
21,17,11
21,18,12
22,6,2
22,12,9
22,13,10
22,15,11
22,18,12
23,6,10
23,7,11
23,16,12
24,1,5
24,3,6
24,6,7
24,16,8
24,17,9
24,18,10
25,3,6
25,6,7
25,15,9
25,16,10
25,17,11
25,18,12
26,11,1
26,13,5
26,14,8
26,15,10
26,16,11
26,18,12
27,8,5
27,16,10
27,17,12
28,5,2
28,11,5
29,3,6
29,8,7
29,13,8
29,14,9
29,16,10
29,17,11
29,18,12
30,10,4
30,13,5
30,14,8
30,15,9
30,16,10
30,17,11
30,18,12
31,1,10
31,14,11
31,17,12
32,3,7
32,10,8
32,11,9
32,13,10
32,16,11
32,17,12
33,10,7
33,14,8
33,15,9
33,16,10
33,17,11
33,18,12
34,15,7
34,17,11
34,18,12
35,3,3
35,9,5
35,11,6
35,13,7
35,14,8
35,15,9
35,16,10
35,17,11
35,18,12
36,13,1
36,14,6
36,17,9
37,2,3
37,4,4
37,13,7
37,14,8
37,16,9
37,17,11
37,18,12
38,10,6
38,12,8
38,14,9
38,15,10
38,16,11
38,18,12
39,5,1
39,12,5
39,13,7
39,14,8
39,15,9
39,16,10
39,17,11
39,18,12
40,2,4
40,4,5
40,8,7
40,11,10
40,17,11
40,18,12
41,1,4
41,15,8
41,16,9
41,17,11
41,18,12
42,8,2
42,9,3
42,10,7
42,13,8
42,14,9
42,15,10
42,16,11
42,18,12
43,1,5
43,9,7
43,10,8
43,15,9
43,16,10
43,17,11
43,18,12
44,12,2
44,13,6
44,14,7
44,15,8
44,16,10
44,17,11
44,18,12
45,11,5
45,12,6
45,13,7
45,14,8
45,15,9
45,16,10
45,17,11
45,18,12
46,9,3
46,13,5
46,14,7
46,15,8
46,16,9
46,17,11
46,18,12
47,14,6
47,16,7
47,17,11
47,18,12
48,14,8
48,15,9
48,16,10
48,17,11
48,18,12
49,8,3
49,10,4
49,11,5
49,13,6
49,14,7
49,15,8
49,16,10
49,17,11
49,18,12
50,6,1
50,10,5
50,16,12
51,1,6
51,5,8
51,9,9
51,12,10
51,16,11
52,12,7
52,14,10
52,17,11
52,18,12
53,8,1
53,11,6
53,12,7
53,13,8
53,15,9
53,16,10
53,17,11
53,18,12
54,10,2
54,14,4
54,15,5
54,16,7
54,17,8
54,18,11
55,5,5
55,13,6
55,15,9
55,16,10
55,17,11
55,18,12
56,9,4
56,11,6
56,12,7
56,14,8
56,15,9
56,16,10
56,17,11
56,18,12
57,2,6
57,14,9
57,15,10
57,17,11
57,18,12
58,4,5
58,6,6
58,8,7
58,11,8
58,15,9
58,16,10
58,17,11
58,18,12
59,5,1
59,11,4
59,13,8
59,15,9
59,16,10
59,17,11
59,18,12
60,4,8
60,12,9
60,15,10
60,16,11
60,18,12
61,10,4
61,13,6
61,14,7
61,15,9
61,16,10
61,17,11
61,18,12
62,2,5
62,13,8
62,14,9
62,16,10
62,17,11
62,18,12
63,1,5
63,5,10
63,8,12
64,9,4
64,11,6
64,13,7
64,14,8
64,16,10
64,17,11
64,18,12
65,6,8
65,9,9
65,16,10
66,1,7
66,4,8
66,6,11
66,16,12
67,9,5
67,13,7
67,14,8
67,15,9
67,16,10
67,17,11
67,18,12
68,6,5
68,7,7
68,17,10
68,18,11
69,7,4
69,10,6
69,12,7
69,13,8
69,14,9
69,16,10
69,17,11
69,18,12
70,10,2
70,11,5
70,12,7
70,14,8
70,15,9
70,16,10
70,17,11
70,18,12
71,12,4
71,16,5
71,17,8
71,18,12
72,14,5
72,15,9
72,16,10
72,17,11
72,18,12
73,3,1
73,6,5
73,11,6
73,13,9
73,16,10
73,17,11
73,18,12
74,5,1
74,9,11
75,9,5
75,15,6
75,16,7
75,17,11
75,18,12
76,6,2
76,11,3
76,14,5
76,15,6
76,16,8
76,17,9
76,18,11
77,11,3
77,13,7
77,14,8
77,15,9
77,17,11
77,18,12
78,13,6
78,15,8
78,16,10
78,17,11
78,18,12
79,3,3
79,4,5
79,10,6
79,11,9
79,14,10
79,15,11
79,18,12
80,3,6
80,4,7
80,7,8
80,9,9
80,13,10
80,15,11
80,18,12
81,2,8
81,10,9
81,13,11
81,16,12
82,14,4
82,17,6
82,18,12
83,7,3
83,10,10
83,16,11
84,12,2
84,16,6
84,17,7
84,18,9
85,6,3
85,13,7
85,15,9
85,16,10
85,17,11
85,18,12
86,5,6
86,18,10
87,11,2
87,12,4
87,13,6
