user_ID,seniority,GPA
1,2,3
2,2,3.5
3,5,3.5
4,2,2.5
5,1,3.5
6,3,3.5
7,4,2
8,4,3.5
9,6,2.5
10,7,4
11,3,3.5
12,5,1.5
13,4,2.5
14,3,1
15,5,4
16,5,2.5
17,3,1.5
18,2,2
19,2,1.5
20,7,3.5
21,2,3.5
22,2,2
23,6,2.5
24,4,1
25,5,3
26,3,3.5
27,2,1.5
28,2,2
29,4,1
30,2,4
31,1,3.5
32,3,1
33,5,4
34,7,1.5
35,2,1.5
36,5,3
37,6,1.5
38,1,3
39,4,1.5
40,2,1
41,4,1.5
42,1,4
43,3,1
44,2,2.5
45,1,3.5
46,2,1.5
47,3,3
48,6,4
49,4,3.5
50,1,1.5
51,3,4
52,7,1
53,1,1.5
54,2,3
55,2,2.5
56,2,2.5
57,1,1.5
58,2,1.5
59,3,3
60,5,1
61,5,3
62,5,3
63,3,2.5
64,4,3.5
65,3,1.5
66,4,1.5
67,1,4
68,3,1
69,4,1.5
70,2,3.5
71,7,3
72,3,1
73,2,4
74,3,3.5
75,3,4
76,7,2
77,5,3.5
78,6,3
79,3,1
80,4,3
81,2,3.5
82,4,3
83,1,3
84,3,3.5
85,7,3.5
86,7,4
87,3,3.5
88,4,3
89,3,4
90,7,3.5
91,2,3
92,3,2
93,7,3.5
94,2,1
95,2,1
96,1,3.5
97,3,1
98,4,2
99,3,3.5
100,2,3
101,2,2
102,3,1.5
103,4,2
104,5,1
105,1,3
106,4,3
107,3,3.5
108,3,3
109,7,3
110,4,3
111,2,4
112,4,2.5
113,3,2
114,2,4
115,2,4
116,3,3.5
117,2,1
118,4,4
119,2,2.5
120,2,2.5
121,3,2.5
122,3,3.5
123,2,3
124,7,2
125,3,2.5
126,4,4
127,1,2.5
128,7,1.5
129,7,1
130,3,1
131,2,3.5
132,3,1.5
133,4,3
134,7,3.5
135,2,4
136,4,1.5
137,1,1
138,6,2
139,3,2
140,3,4
141,2,1.5
142,3,1
143,3,1
144,3,1
145,7,2
146,3,1
147,2,1
148,1,3.5
149,3,3.5
150,7,3
151,3,1
152,4,3.5
153,2,4
154,2,3.5
155,7,4
156,3,2.5
157,3,2
158,3,1.5
159,2,3
160,7,2.5
161,4,3
162,7,3
163,2,1
164,4,3.5
165,3,2
166,6,4
167,5,3
168,5,2
169,4,3
170,3,2.5
171,4,4
172,5,1
173,3,1
174,2,4
175,2,3.5
176,7,1
177,3,4
178,7,3.5
179,2,2.5
180,2,1.5
181,7,2
182,4,3
183,7,3.5
184,2,4
185,3,2
186,4,1
187,2,3
188,7,1
189,5,4
190,2,3
191,2,2.5
192,2,1.5
193,7,3.5
194,4,2
195,4,3.5
196,3,1
197,4,1
198,3,2.5
199,4,1.5
200,5,3
